"date","chart_id","series_id","series_name","country","value","axis","unit","source","source_url"
"2003-01-01","pmi_composite","pmi_ea","Europe","Euro Area",53.875,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2003-02-01","pmi_composite","pmi_ea","Europe","Euro Area",54.239,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2003-03-01","pmi_composite","pmi_ea","Europe","Euro Area",53.979,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2003-04-01","pmi_composite","pmi_ea","Europe","Euro Area",54.075,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2003-05-01","pmi_composite","pmi_ea","Europe","Euro Area",54.593,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2003-06-01","pmi_composite","pmi_ea","Europe","Euro Area",55.604,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2003-07-01","pmi_composite","pmi_ea","Europe","Euro Area",55.643,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2003-08-01","pmi_composite","pmi_ea","Europe","Euro Area",55.636,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2003-09-01","pmi_composite","pmi_ea","Europe","Euro Area",55.055,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2003-10-01","pmi_composite","pmi_ea","Europe","Euro Area",55.629,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2003-11-01","pmi_composite","pmi_ea","Europe","Euro Area",56.373,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2003-12-01","pmi_composite","pmi_ea","Europe","Euro Area",57.447,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2004-01-01","pmi_composite","pmi_ea","Europe","Euro Area",57.536,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2004-02-01","pmi_composite","pmi_ea","Europe","Euro Area",57.532,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2004-03-01","pmi_composite","pmi_ea","Europe","Euro Area",57.527,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2004-04-01","pmi_composite","pmi_ea","Europe","Euro Area",57.616,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2004-05-01","pmi_composite","pmi_ea","Europe","Euro Area",56.757,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2004-06-01","pmi_composite","pmi_ea","Europe","Euro Area",56.258,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2004-07-01","pmi_composite","pmi_ea","Europe","Euro Area",56.427,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2004-08-01","pmi_composite","pmi_ea","Europe","Euro Area",56.799,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2004-09-01","pmi_composite","pmi_ea","Europe","Euro Area",56.397,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2004-10-01","pmi_composite","pmi_ea","Europe","Euro Area",54.876,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2004-11-01","pmi_composite","pmi_ea","Europe","Euro Area",54.103,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2004-12-01","pmi_composite","pmi_ea","Europe","Euro Area",53.153,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2005-01-01","pmi_composite","pmi_ea","Europe","Euro Area",53.154,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2005-02-01","pmi_composite","pmi_ea","Europe","Euro Area",52.883,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2005-03-01","pmi_composite","pmi_ea","Europe","Euro Area",53.045,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2005-04-01","pmi_composite","pmi_ea","Europe","Euro Area",52.775,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2005-05-01","pmi_composite","pmi_ea","Europe","Euro Area",52.444,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2005-06-01","pmi_composite","pmi_ea","Europe","Euro Area",52.17,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2005-07-01","pmi_composite","pmi_ea","Europe","Euro Area",51.326,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2005-08-01","pmi_composite","pmi_ea","Europe","Euro Area",50.884,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2005-09-01","pmi_composite","pmi_ea","Europe","Euro Area",50.927,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2005-10-01","pmi_composite","pmi_ea","Europe","Euro Area",51.305,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
