date,geo,country,component,nsa_index,release
1996-01-01,DE,Germany,headline,75.12625410,FIN
1996-02-01,DE,Germany,headline,75.57476905,FIN
1996-03-01,DE,Germany,headline,75.65391874,FIN
1996-04-01,DE,Germany,headline,75.57476905,FIN
1996-05-01,DE,Germany,headline,75.73306844,FIN
1996-06-01,DE,Germany,headline,75.81221814,FIN
1996-07-01,DE,Germany,headline,75.95732592,FIN
1996-08-01,DE,Germany,headline,75.87817622,FIN
1996-09-01,DE,Germany,headline,75.87817622,FIN
1996-10-01,DE,Germany,headline,75.81221814,FIN
1996-11-01,DE,Germany,headline,75.73306844,FIN
1996-12-01,DE,Germany,headline,76.03647561,FIN
1997-01-01,DE,Germany,headline,76.48499056,FIN
1997-02-01,DE,Germany,headline,76.78839774,FIN
1997-03-01,DE,Germany,headline,76.70924804,FIN
1997-04-01,DE,Germany,headline,76.48499056,FIN
1997-05-01,DE,Germany,headline,76.78839774,FIN
1997-06-01,DE,Germany,headline,76.94669713,FIN
1997-07-01,DE,Germany,headline,77.17095460,FIN
1997-08-01,DE,Germany,headline,77.25010430,FIN
1997-09-01,DE,Germany,headline,77.01265521,FIN
1997-10-01,DE,Germany,headline,76.94669713,FIN
1997-11-01,DE,Germany,headline,76.94669713,FIN
1997-12-01,DE,Germany,headline,77.09180491,FIN
1998-01-01,DE,Germany,headline,77.01265521,FIN
1998-02-01,DE,Germany,headline,77.25010430,FIN
1998-03-01,DE,Germany,headline,77.09180491,FIN
1998-04-01,DE,Germany,headline,77.17095460,FIN
1998-05-01,DE,Germany,headline,77.47436178,FIN
1998-06-01,DE,Germany,headline,77.55351147,FIN
1998-07-01,DE,Germany,headline,77.77776895,FIN
1998-08-01,DE,Germany,headline,77.69861925,FIN
1998-09-01,DE,Germany,headline,77.39521208,FIN
1998-10-01,DE,Germany,headline,77.25010430,FIN
1998-11-01,DE,Germany,headline,77.25010430,FIN
1998-12-01,DE,Germany,headline,77.25010430,FIN
1999-01-01,DE,Germany,headline,77.17095460,FIN
1999-02-01,DE,Germany,headline,77.31606238,FIN
1999-03-01,DE,Germany,headline,77.47436178,FIN
1999-04-01,DE,Germany,headline,77.77776895,FIN
1999-05-01,DE,Germany,headline,77.77776895,FIN
1999-06-01,DE,Germany,headline,77.85691865,FIN
1999-07-01,DE,Germany,headline,78.22628390,FIN
1999-08-01,DE,Germany,headline,78.22628390,FIN
1999-09-01,DE,Germany,headline,78.00202642,FIN
1999-10-01,DE,Germany,headline,77.92287673,FIN
1999-11-01,DE,Germany,headline,78.00202642,FIN
1999-12-01,DE,Germany,headline,78.30543359,FIN
2000-01-01,DE,Germany,headline,78.46373299,FIN
2000-02-01,DE,Germany,headline,78.60884077,FIN
2000-03-01,DE,Germany,headline,78.56926592,FIN
2000-04-01,DE,Germany,headline,78.56926592,FIN
2000-05-01,DE,Germany,headline,78.45054137,FIN
2000-06-01,DE,Germany,headline,78.85948147,FIN
2000-07-01,DE,Germany,headline,79.18927188,FIN
2000-08-01,DE,Germany,headline,78.97820602,FIN
2000-09-01,DE,Germany,headline,79.18927188,FIN
2000-10-01,DE,Germany,headline,79.05735572,FIN
2000-11-01,DE,Germany,headline,79.13650541,FIN
2000-12-01,DE,Germany,headline,79.96757723,FIN
2001-01-01,DE,Germany,headline,79.46629582,FIN
2001-02-01,DE,Germany,headline,79.96757723,FIN
2001-03-01,DE,Germany,headline,79.98076885,FIN
2001-04-01,DE,Germany,headline,80.29736764,FIN
2001-05-01,DE,Germany,headline,80.65354127,FIN
2001-06-01,DE,Germany,headline,80.78545744,FIN
2001-07-01,DE,Germany,headline,80.93056521,FIN
2001-08-01,DE,Germany,headline,80.71949935,FIN
2001-09-01,DE,Germany,headline,80.62715804,FIN
2001-10-01,DE,Germany,headline,80.36332572,FIN
2001-11-01,DE,Germany,headline,80.19183471,FIN
2001-12-01,DE,Germany,headline,81.07567299,FIN
2002-01-01,DE,Germany,headline,81.15482269,FIN
2002-02-01,DE,Germany,headline,81.40546340,FIN
2002-03-01,DE,Germany,headline,81.53737956,FIN
