"date","chart_id","series_id","series_name","country","value","axis","unit","source","source_url","frequency","source_note","cache_generated_month"
"2001-07-01","ecb_pcci_3m_saar","hicp_headline_pc_pcci_3m_saar","HICP ECB-style PCCI replication","Euro Area",2.56,"left","%","Eurostat HICP / ECB-style PCCI replication","https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf","monthly","ECB-style replication from 619 4-digit country-item HICP series for 12 countries: annualised monthly rates, outlier removal, month-effect seasonal adjustment, low-frequency common factor component keeping cycles of at least three years, averaged over 4-16 static factor specifications and scaled to ECB PCCI through Dec-2025. Fit R2 0.83; sample Jul-2001 to May-2026.","2026-07"
"2001-08-01","ecb_pcci_3m_saar","hicp_headline_pc_pcci_3m_saar","HICP ECB-style PCCI replication","Euro Area",2.54,"left","%","Eurostat HICP / ECB-style PCCI replication","https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf","monthly","ECB-style replication from 619 4-digit country-item HICP series for 12 countries: annualised monthly rates, outlier removal, month-effect seasonal adjustment, low-frequency common factor component keeping cycles of at least three years, averaged over 4-16 static factor specifications and scaled to ECB PCCI through Dec-2025. Fit R2 0.83; sample Jul-2001 to May-2026.","2026-07"
"2001-09-01","ecb_pcci_3m_saar","hicp_headline_pc_pcci_3m_saar","HICP ECB-style PCCI replication","Euro Area",2.513,"left","%","Eurostat HICP / ECB-style PCCI replication","https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf","monthly","ECB-style replication from 619 4-digit country-item HICP series for 12 countries: annualised monthly rates, outlier removal, month-effect seasonal adjustment, low-frequency common factor component keeping cycles of at least three years, averaged over 4-16 static factor specifications and scaled to ECB PCCI through Dec-2025. Fit R2 0.83; sample Jul-2001 to May-2026.","2026-07"
"2001-10-01","ecb_pcci_3m_saar","hicp_headline_pc_pcci_3m_saar","HICP ECB-style PCCI replication","Euro Area",2.478,"left","%","Eurostat HICP / ECB-style PCCI replication","https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf","monthly","ECB-style replication from 619 4-digit country-item HICP series for 12 countries: annualised monthly rates, outlier removal, month-effect seasonal adjustment, low-frequency common factor component keeping cycles of at least three years, averaged over 4-16 static factor specifications and scaled to ECB PCCI through Dec-2025. Fit R2 0.83; sample Jul-2001 to May-2026.","2026-07"
"2001-11-01","ecb_pcci_3m_saar","hicp_headline_pc_pcci_3m_saar","HICP ECB-style PCCI replication","Euro Area",2.438,"left","%","Eurostat HICP / ECB-style PCCI replication","https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf","monthly","ECB-style replication from 619 4-digit country-item HICP series for 12 countries: annualised monthly rates, outlier removal, month-effect seasonal adjustment, low-frequency common factor component keeping cycles of at least three years, averaged over 4-16 static factor specifications and scaled to ECB PCCI through Dec-2025. Fit R2 0.83; sample Jul-2001 to May-2026.","2026-07"
"2001-12-01","ecb_pcci_3m_saar","hicp_headline_pc_pcci_3m_saar","HICP ECB-style PCCI replication","Euro Area",2.394,"left","%","Eurostat HICP / ECB-style PCCI replication","https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf","monthly","ECB-style replication from 619 4-digit country-item HICP series for 12 countries: annualised monthly rates, outlier removal, month-effect seasonal adjustment, low-frequency common factor component keeping cycles of at least three years, averaged over 4-16 static factor specifications and scaled to ECB PCCI through Dec-2025. Fit R2 0.83; sample Jul-2001 to May-2026.","2026-07"
"2002-01-01","ecb_pcci_3m_saar","hicp_headline_pc_pcci_3m_saar","HICP ECB-style PCCI replication","Euro Area",2.346,"left","%","Eurostat HICP / ECB-style PCCI replication","https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf","monthly","ECB-style replication from 619 4-digit country-item HICP series for 12 countries: annualised monthly rates, outlier removal, month-effect seasonal adjustment, low-frequency common factor component keeping cycles of at least three years, averaged over 4-16 static factor specifications and scaled to ECB PCCI through Dec-2025. Fit R2 0.83; sample Jul-2001 to May-2026.","2026-07"
"2002-02-01","ecb_pcci_3m_saar","hicp_headline_pc_pcci_3m_saar","HICP ECB-style PCCI replication","Euro Area",2.297,"left","%","Eurostat HICP / ECB-style PCCI replication","https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf","monthly","ECB-style replication from 619 4-digit country-item HICP series for 12 countries: annualised monthly rates, outlier removal, month-effect seasonal adjustment, low-frequency common factor component keeping cycles of at least three years, averaged over 4-16 static factor specifications and scaled to ECB PCCI through Dec-2025. Fit R2 0.83; sample Jul-2001 to May-2026.","2026-07"
"2002-03-01","ecb_pcci_3m_saar","hicp_headline_pc_pcci_3m_saar","HICP ECB-style PCCI replication","Euro Area",2.247,"left","%","Eurostat HICP / ECB-style PCCI replication","https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf","monthly","ECB-style replication from 619 4-digit country-item HICP series for 12 countries: annualised monthly rates, outlier removal, month-effect seasonal adjustment, low-frequency common factor component keeping cycles of at least three years, averaged over 4-16 static factor specifications and scaled to ECB PCCI through Dec-2025. Fit R2 0.83; sample Jul-2001 to May-2026.","2026-07"
"2002-04-01","ecb_pcci_3m_saar","hicp_headline_pc_pcci_3m_saar","HICP ECB-style PCCI replication","Euro Area",2.199,"left","%","Eurostat HICP / ECB-style PCCI replication","https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf","monthly","ECB-style replication from 619 4-digit country-item HICP series for 12 countries: annualised monthly rates, outlier removal, month-effect seasonal adjustment, low-frequency common factor component keeping cycles of at least three years, averaged over 4-16 static factor specifications and scaled to ECB PCCI through Dec-2025. Fit R2 0.83; sample Jul-2001 to May-2026.","2026-07"
