KEY,FREQ,REF_AREA,BANK_SELECTION,BLS_ITEM,BLS_COUNT,BLS_COUNT_DETAIL,TIME_HORIZON,EFFECT_DOMAIN,MARKET_ROLE,BLS_AGG_METHOD,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,COLLECTION,COMPILING_ORG,DISS_ORG,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
BLS.Q.U2.ALL.IFO.E.Z.B3.ST.S.WFNET,Q,U2,ALL,IFO,E,Z,B3,ST,S,WFNET,2003-Q1,82.55552508632275,A,F,,,P3M,B,,,0,,Credit standards-Impact of industry or firm specific situation-Enterprise,Euro area (changing composition) - All banks - Question on Impact of industry or firm specific situation - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.IFO.E.Z.B3.ST.S.WFNET,Q,U2,ALL,IFO,E,Z,B3,ST,S,WFNET,2003-Q2,67.12715924936704,A,F,,,P3M,B,,,0,,Credit standards-Impact of industry or firm specific situation-Enterprise,Euro area (changing composition) - All banks - Question on Impact of industry or firm specific situation - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.IFO.E.Z.B3.ST.S.WFNET,Q,U2,ALL,IFO,E,Z,B3,ST,S,WFNET,2003-Q3,50.78239702208443,A,F,,,P3M,B,,,0,,Credit standards-Impact of industry or firm specific situation-Enterprise,Euro area (changing composition) - All banks - Question on Impact of industry or firm specific situation - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.IFO.E.Z.B3.ST.S.WFNET,Q,U2,ALL,IFO,E,Z,B3,ST,S,WFNET,2003-Q4,43.97471978252738,A,F,,,P3M,B,,,0,,Credit standards-Impact of industry or firm specific situation-Enterprise,Euro area (changing composition) - All banks - Question on Impact of industry or firm specific situation - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.IFO.E.Z.B3.ST.S.WFNET,Q,U2,ALL,IFO,E,Z,B3,ST,S,WFNET,2004-Q1,22.63365199608463,A,F,,,P3M,B,,,0,,Credit standards-Impact of industry or firm specific situation-Enterprise,Euro area (changing composition) - All banks - Question on Impact of industry or firm specific situation - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.IFO.E.Z.B3.ST.S.WFNET,Q,U2,ALL,IFO,E,Z,B3,ST,S,WFNET,2004-Q2,17.613304145414588,A,F,,,P3M,B,,,0,,Credit standards-Impact of industry or firm specific situation-Enterprise,Euro area (changing composition) - All banks - Question on Impact of industry or firm specific situation - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.IFO.E.Z.B3.ST.S.WFNET,Q,U2,ALL,IFO,E,Z,B3,ST,S,WFNET,2004-Q3,1.6508403702001127,A,F,,,P3M,B,,,0,,Credit standards-Impact of industry or firm specific situation-Enterprise,Euro area (changing composition) - All banks - Question on Impact of industry or firm specific situation - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.IFO.E.Z.B3.ST.S.WFNET,Q,U2,ALL,IFO,E,Z,B3,ST,S,WFNET,2004-Q4,9.284600135451683,A,F,,,P3M,B,,,0,,Credit standards-Impact of industry or firm specific situation-Enterprise,Euro area (changing composition) - All banks - Question on Impact of industry or firm specific situation - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.IFO.E.Z.B3.ST.S.WFNET,Q,U2,ALL,IFO,E,Z,B3,ST,S,WFNET,2005-Q1,12.994893067527586,A,F,,,P3M,B,,,0,,Credit standards-Impact of industry or firm specific situation-Enterprise,Euro area (changing composition) - All banks - Question on Impact of industry or firm specific situation - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.IFO.E.Z.B3.ST.S.WFNET,Q,U2,ALL,IFO,E,Z,B3,ST,S,WFNET,2005-Q2,9.35054758805095,A,F,,,P3M,B,,,0,,Credit standards-Impact of industry or firm specific situation-Enterprise,Euro area (changing composition) - All banks - Question on Impact of industry or firm specific situation - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.IFO.E.Z.B3.ST.S.WFNET,Q,U2,ALL,IFO,E,Z,B3,ST,S,WFNET,2005-Q3,9.52105950547724,A,F,,,P3M,B,,,0,,Credit standards-Impact of industry or firm specific situation-Enterprise,Euro area (changing composition) - All banks - Question on Impact of industry or firm specific situation - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
