KEY,FREQ,REF_AREA,ADJUSTMENT,ICP_ITEM,DATA_PROVIDER,ICP_SUFFIX,TIME_PERIOD,OBS_VALUE,EMBARGO_TIME,COMMENT_OBS,PRE_BREAK_VALUE,CONF_STATUS,OBS_STATUS,TRANSFORMATION,COMMENT_TS,TIME_PER_COLLECT,ADJU_DETAIL,UPDATE_STATUS,TIME_FORMAT,BREAKS,COMPILING_ORG,DATA_COMP,DISS_ORG,DOM_SER_IDS,UNIT_INDEX_BASE,COVERAGE,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT,COMMENT_DSET
HICP.M.U2.Y.SERV00.4F0.INX,M,U2,Y,SERV00,4F0,INX,1997-01,55.97,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Services (overall index excluding goods) - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Services (overall index excluding goods), Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.SERV00.4F0.INX,M,U2,Y,SERV00,4F0,INX,1997-02,56.07,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Services (overall index excluding goods) - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Services (overall index excluding goods), Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.SERV00.4F0.INX,M,U2,Y,SERV00,4F0,INX,1997-03,56.13,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Services (overall index excluding goods) - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Services (overall index excluding goods), Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.SERV00.4F0.INX,M,U2,Y,SERV00,4F0,INX,1997-04,56.18,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Services (overall index excluding goods) - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Services (overall index excluding goods), Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.SERV00.4F0.INX,M,U2,Y,SERV00,4F0,INX,1997-05,56.26,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Services (overall index excluding goods) - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Services (overall index excluding goods), Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.SERV00.4F0.INX,M,U2,Y,SERV00,4F0,INX,1997-06,56.35,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Services (overall index excluding goods) - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Services (overall index excluding goods), Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.SERV00.4F0.INX,M,U2,Y,SERV00,4F0,INX,1997-07,56.41,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Services (overall index excluding goods) - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Services (overall index excluding goods), Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.SERV00.4F0.INX,M,U2,Y,SERV00,4F0,INX,1997-08,56.5,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Services (overall index excluding goods) - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Services (overall index excluding goods), Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.SERV00.4F0.INX,M,U2,Y,SERV00,4F0,INX,1997-09,56.55,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Services (overall index excluding goods) - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Services (overall index excluding goods), Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.SERV00.4F0.INX,M,U2,Y,SERV00,4F0,INX,1997-10,56.51,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Services (overall index excluding goods) - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Services (overall index excluding goods), Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.SERV00.4F0.INX,M,U2,Y,SERV00,4F0,INX,1997-11,56.65,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Services (overall index excluding goods) - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Services (overall index excluding goods), Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.SERV00.4F0.INX,M,U2,Y,SERV00,4F0,INX,1997-12,56.74,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Services (overall index excluding goods) - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Services (overall index excluding goods), Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.SERV00.4F0.INX,M,U2,Y,SERV00,4F0,INX,1998-01,56.72,,Introduction of harmonised treatment of price reductions in Portugal as of Jan98,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Services (overall index excluding goods) - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Services (overall index excluding goods), Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.SERV00.4F0.INX,M,U2,Y,SERV00,4F0,INX,1998-02,56.79,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Services (overall index excluding goods) - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Services (overall index excluding goods), Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.SERV00.4F0.INX,M,U2,Y,SERV00,4F0,INX,1998-03,56.82,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Services (overall index excluding goods) - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Services (overall index excluding goods), Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.SERV00.4F0.INX,M,U2,Y,SERV00,4F0,INX,1998-04,56.85,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Services (overall index excluding goods) - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Services (overall index excluding goods), Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.SERV00.4F0.INX,M,U2,Y,SERV00,4F0,INX,1998-05,57.04,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Services (overall index excluding goods) - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Services (overall index excluding goods), Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
