KEY,FREQ,REF_AREA,ADJUSTMENT,ICP_ITEM,DATA_PROVIDER,ICP_SUFFIX,TIME_PERIOD,OBS_VALUE,EMBARGO_TIME,COMMENT_OBS,PRE_BREAK_VALUE,CONF_STATUS,OBS_STATUS,TRANSFORMATION,COMMENT_TS,TIME_PER_COLLECT,ADJU_DETAIL,UPDATE_STATUS,TIME_FORMAT,BREAKS,COMPILING_ORG,DATA_COMP,DISS_ORG,DOM_SER_IDS,UNIT_INDEX_BASE,COVERAGE,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT,COMMENT_DSET
HICP.M.U2.Y.000000.4F0.INX,M,U2,Y,000000,4F0,INX,1997-01,57.11,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Total - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Total, Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.000000.4F0.INX,M,U2,Y,000000,4F0,INX,1997-02,57.11,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Total - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Total, Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.000000.4F0.INX,M,U2,Y,000000,4F0,INX,1997-03,57.05,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Total - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Total, Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.000000.4F0.INX,M,U2,Y,000000,4F0,INX,1997-04,57.01,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Total - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Total, Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.000000.4F0.INX,M,U2,Y,000000,4F0,INX,1997-05,57.09,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Total - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Total, Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.000000.4F0.INX,M,U2,Y,000000,4F0,INX,1997-06,57.13,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Total - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Total, Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.000000.4F0.INX,M,U2,Y,000000,4F0,INX,1997-07,57.21,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Total - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Total, Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.000000.4F0.INX,M,U2,Y,000000,4F0,INX,1997-08,57.38,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Total - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Total, Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.000000.4F0.INX,M,U2,Y,000000,4F0,INX,1997-09,57.42,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Total - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Total, Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.000000.4F0.INX,M,U2,Y,000000,4F0,INX,1997-10,57.42,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Total - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Total, Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
