KEY,FREQ,REF_AREA,ADJUSTMENT,ICP_ITEM,STS_INSTITUTION,ICP_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DATA_COMP,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
ICP.M.U2.N.PCCI00.3.3MM,M,U2,N,PCCI00,3,3MM,2017-01,1.492342,A,F,,,P1M,,A,,"For more details see Banbura, Marta and Bobeica, Elena, 2020, PCCI - a data-rich measure of underlying inflation in the euro area, Statistics Paper Series 38, European Central Bank. https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf?9a87c31fcacaa493bcf45e1295b7102a",,,,,,,,,6,4F0,HICP - Persistent and Common Component of Inflation (overall),"Euro area (changing composition) - Persistent and Common Component of Inflation (frequency exclusion measure of underlying inflation - all items), Three-month moving average annualized, European Central Bank, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.U2.N.PCCI00.3.3MM,M,U2,N,PCCI00,3,3MM,2017-02,1.513941,A,F,,,P1M,,A,,"For more details see Banbura, Marta and Bobeica, Elena, 2020, PCCI - a data-rich measure of underlying inflation in the euro area, Statistics Paper Series 38, European Central Bank. https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf?9a87c31fcacaa493bcf45e1295b7102a",,,,,,,,,6,4F0,HICP - Persistent and Common Component of Inflation (overall),"Euro area (changing composition) - Persistent and Common Component of Inflation (frequency exclusion measure of underlying inflation - all items), Three-month moving average annualized, European Central Bank, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.U2.N.PCCI00.3.3MM,M,U2,N,PCCI00,3,3MM,2017-03,1.482075,A,F,,,P1M,,A,,"For more details see Banbura, Marta and Bobeica, Elena, 2020, PCCI - a data-rich measure of underlying inflation in the euro area, Statistics Paper Series 38, European Central Bank. https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf?9a87c31fcacaa493bcf45e1295b7102a",,,,,,,,,6,4F0,HICP - Persistent and Common Component of Inflation (overall),"Euro area (changing composition) - Persistent and Common Component of Inflation (frequency exclusion measure of underlying inflation - all items), Three-month moving average annualized, European Central Bank, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.U2.N.PCCI00.3.3MM,M,U2,N,PCCI00,3,3MM,2017-04,1.397532,A,F,,,P1M,,A,,"For more details see Banbura, Marta and Bobeica, Elena, 2020, PCCI - a data-rich measure of underlying inflation in the euro area, Statistics Paper Series 38, European Central Bank. https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf?9a87c31fcacaa493bcf45e1295b7102a",,,,,,,,,6,4F0,HICP - Persistent and Common Component of Inflation (overall),"Euro area (changing composition) - Persistent and Common Component of Inflation (frequency exclusion measure of underlying inflation - all items), Three-month moving average annualized, European Central Bank, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.U2.N.PCCI00.3.3MM,M,U2,N,PCCI00,3,3MM,2017-05,1.476525,A,F,,,P1M,,A,,"For more details see Banbura, Marta and Bobeica, Elena, 2020, PCCI - a data-rich measure of underlying inflation in the euro area, Statistics Paper Series 38, European Central Bank. https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf?9a87c31fcacaa493bcf45e1295b7102a",,,,,,,,,6,4F0,HICP - Persistent and Common Component of Inflation (overall),"Euro area (changing composition) - Persistent and Common Component of Inflation (frequency exclusion measure of underlying inflation - all items), Three-month moving average annualized, European Central Bank, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.U2.N.PCCI00.3.3MM,M,U2,N,PCCI00,3,3MM,2017-06,1.443379,A,F,,,P1M,,A,,"For more details see Banbura, Marta and Bobeica, Elena, 2020, PCCI - a data-rich measure of underlying inflation in the euro area, Statistics Paper Series 38, European Central Bank. https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf?9a87c31fcacaa493bcf45e1295b7102a",,,,,,,,,6,4F0,HICP - Persistent and Common Component of Inflation (overall),"Euro area (changing composition) - Persistent and Common Component of Inflation (frequency exclusion measure of underlying inflation - all items), Three-month moving average annualized, European Central Bank, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.U2.N.PCCI00.3.3MM,M,U2,N,PCCI00,3,3MM,2017-07,1.527989,A,F,,,P1M,,A,,"For more details see Banbura, Marta and Bobeica, Elena, 2020, PCCI - a data-rich measure of underlying inflation in the euro area, Statistics Paper Series 38, European Central Bank. https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf?9a87c31fcacaa493bcf45e1295b7102a",,,,,,,,,6,4F0,HICP - Persistent and Common Component of Inflation (overall),"Euro area (changing composition) - Persistent and Common Component of Inflation (frequency exclusion measure of underlying inflation - all items), Three-month moving average annualized, European Central Bank, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.U2.N.PCCI00.3.3MM,M,U2,N,PCCI00,3,3MM,2017-08,1.532727,A,F,,,P1M,,A,,"For more details see Banbura, Marta and Bobeica, Elena, 2020, PCCI - a data-rich measure of underlying inflation in the euro area, Statistics Paper Series 38, European Central Bank. https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf?9a87c31fcacaa493bcf45e1295b7102a",,,,,,,,,6,4F0,HICP - Persistent and Common Component of Inflation (overall),"Euro area (changing composition) - Persistent and Common Component of Inflation (frequency exclusion measure of underlying inflation - all items), Three-month moving average annualized, European Central Bank, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.U2.N.PCCI00.3.3MM,M,U2,N,PCCI00,3,3MM,2017-09,1.641402,A,F,,,P1M,,A,,"For more details see Banbura, Marta and Bobeica, Elena, 2020, PCCI - a data-rich measure of underlying inflation in the euro area, Statistics Paper Series 38, European Central Bank. https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf?9a87c31fcacaa493bcf45e1295b7102a",,,,,,,,,6,4F0,HICP - Persistent and Common Component of Inflation (overall),"Euro area (changing composition) - Persistent and Common Component of Inflation (frequency exclusion measure of underlying inflation - all items), Three-month moving average annualized, European Central Bank, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.U2.N.PCCI00.3.3MM,M,U2,N,PCCI00,3,3MM,2017-10,1.644539,A,F,,,P1M,,A,,"For more details see Banbura, Marta and Bobeica, Elena, 2020, PCCI - a data-rich measure of underlying inflation in the euro area, Statistics Paper Series 38, European Central Bank. https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf?9a87c31fcacaa493bcf45e1295b7102a",,,,,,,,,6,4F0,HICP - Persistent and Common Component of Inflation (overall),"Euro area (changing composition) - Persistent and Common Component of Inflation (frequency exclusion measure of underlying inflation - all items), Three-month moving average annualized, European Central Bank, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.U2.N.PCCI00.3.3MM,M,U2,N,PCCI00,3,3MM,2017-11,1.659823,A,F,,,P1M,,A,,"For more details see Banbura, Marta and Bobeica, Elena, 2020, PCCI - a data-rich measure of underlying inflation in the euro area, Statistics Paper Series 38, European Central Bank. https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf?9a87c31fcacaa493bcf45e1295b7102a",,,,,,,,,6,4F0,HICP - Persistent and Common Component of Inflation (overall),"Euro area (changing composition) - Persistent and Common Component of Inflation (frequency exclusion measure of underlying inflation - all items), Three-month moving average annualized, European Central Bank, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.U2.N.PCCI00.3.3MM,M,U2,N,PCCI00,3,3MM,2017-12,1.628534,A,F,,,P1M,,A,,"For more details see Banbura, Marta and Bobeica, Elena, 2020, PCCI - a data-rich measure of underlying inflation in the euro area, Statistics Paper Series 38, European Central Bank. https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf?9a87c31fcacaa493bcf45e1295b7102a",,,,,,,,,6,4F0,HICP - Persistent and Common Component of Inflation (overall),"Euro area (changing composition) - Persistent and Common Component of Inflation (frequency exclusion measure of underlying inflation - all items), Three-month moving average annualized, European Central Bank, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.U2.N.PCCI00.3.3MM,M,U2,N,PCCI00,3,3MM,2018-01,1.66099,A,F,,,P1M,,A,,"For more details see Banbura, Marta and Bobeica, Elena, 2020, PCCI - a data-rich measure of underlying inflation in the euro area, Statistics Paper Series 38, European Central Bank. https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf?9a87c31fcacaa493bcf45e1295b7102a",,,,,,,,,6,4F0,HICP - Persistent and Common Component of Inflation (overall),"Euro area (changing composition) - Persistent and Common Component of Inflation (frequency exclusion measure of underlying inflation - all items), Three-month moving average annualized, European Central Bank, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.U2.N.PCCI00.3.3MM,M,U2,N,PCCI00,3,3MM,2018-02,1.517925,A,F,,,P1M,,A,,"For more details see Banbura, Marta and Bobeica, Elena, 2020, PCCI - a data-rich measure of underlying inflation in the euro area, Statistics Paper Series 38, European Central Bank. https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf?9a87c31fcacaa493bcf45e1295b7102a",,,,,,,,,6,4F0,HICP - Persistent and Common Component of Inflation (overall),"Euro area (changing composition) - Persistent and Common Component of Inflation (frequency exclusion measure of underlying inflation - all items), Three-month moving average annualized, European Central Bank, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.U2.N.PCCI00.3.3MM,M,U2,N,PCCI00,3,3MM,2018-03,1.513237,A,F,,,P1M,,A,,"For more details see Banbura, Marta and Bobeica, Elena, 2020, PCCI - a data-rich measure of underlying inflation in the euro area, Statistics Paper Series 38, European Central Bank. https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf?9a87c31fcacaa493bcf45e1295b7102a",,,,,,,,,6,4F0,HICP - Persistent and Common Component of Inflation (overall),"Euro area (changing composition) - Persistent and Common Component of Inflation (frequency exclusion measure of underlying inflation - all items), Three-month moving average annualized, European Central Bank, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.U2.N.PCCI00.3.3MM,M,U2,N,PCCI00,3,3MM,2018-04,1.538363,A,F,,,P1M,,A,,"For more details see Banbura, Marta and Bobeica, Elena, 2020, PCCI - a data-rich measure of underlying inflation in the euro area, Statistics Paper Series 38, European Central Bank. https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf?9a87c31fcacaa493bcf45e1295b7102a",,,,,,,,,6,4F0,HICP - Persistent and Common Component of Inflation (overall),"Euro area (changing composition) - Persistent and Common Component of Inflation (frequency exclusion measure of underlying inflation - all items), Three-month moving average annualized, European Central Bank, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.U2.N.PCCI00.3.3MM,M,U2,N,PCCI00,3,3MM,2018-05,1.643077,A,F,,,P1M,,A,,"For more details see Banbura, Marta and Bobeica, Elena, 2020, PCCI - a data-rich measure of underlying inflation in the euro area, Statistics Paper Series 38, European Central Bank. https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf?9a87c31fcacaa493bcf45e1295b7102a",,,,,,,,,6,4F0,HICP - Persistent and Common Component of Inflation (overall),"Euro area (changing composition) - Persistent and Common Component of Inflation (frequency exclusion measure of underlying inflation - all items), Three-month moving average annualized, European Central Bank, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.U2.N.PCCI00.3.3MM,M,U2,N,PCCI00,3,3MM,2018-06,1.67218,A,F,,,P1M,,A,,"For more details see Banbura, Marta and Bobeica, Elena, 2020, PCCI - a data-rich measure of underlying inflation in the euro area, Statistics Paper Series 38, European Central Bank. https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps38~ce391a0cb5.en.pdf?9a87c31fcacaa493bcf45e1295b7102a",,,,,,,,,6,4F0,HICP - Persistent and Common Component of Inflation (overall),"Euro area (changing composition) - Persistent and Common Component of Inflation (frequency exclusion measure of underlying inflation - all items), Three-month moving average annualized, European Central Bank, Neither seasonally nor working day adjusted",PCCH,0
