KEY,FREQ,REF_AREA,ADJUSTMENT,EWT_INDICATOR,EWT_CONCEPT,ACTIVITY,COMPILING_ORG,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,COLLECTION,DISS_ORG,DECIMALS,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EWT.M.U2.N.WT.INWS._T.4F0.GY,M,U2,N,WT,INWS,_T,4F0,GY,2013-01,1.88924369266119,A,F,,,P1M,A,,14,ECB wage tracker,"Euro area, non-seasonally adjusted, wage tracker, including one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWS._T.4F0.GY,M,U2,N,WT,INWS,_T,4F0,GY,2013-02,1.88377746271964,A,F,,,P1M,A,,14,ECB wage tracker,"Euro area, non-seasonally adjusted, wage tracker, including one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWS._T.4F0.GY,M,U2,N,WT,INWS,_T,4F0,GY,2013-03,1.74564352978891,A,F,,,P1M,A,,14,ECB wage tracker,"Euro area, non-seasonally adjusted, wage tracker, including one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWS._T.4F0.GY,M,U2,N,WT,INWS,_T,4F0,GY,2013-04,1.7747741194563,A,F,,,P1M,A,,14,ECB wage tracker,"Euro area, non-seasonally adjusted, wage tracker, including one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWS._T.4F0.GY,M,U2,N,WT,INWS,_T,4F0,GY,2013-05,1.59205515833859,A,F,,,P1M,A,,14,ECB wage tracker,"Euro area, non-seasonally adjusted, wage tracker, including one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWS._T.4F0.GY,M,U2,N,WT,INWS,_T,4F0,GY,2013-06,1.44520306425479,A,F,,,P1M,A,,14,ECB wage tracker,"Euro area, non-seasonally adjusted, wage tracker, including one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWS._T.4F0.GY,M,U2,N,WT,INWS,_T,4F0,GY,2013-07,1.82646572620818,A,F,,,P1M,A,,14,ECB wage tracker,"Euro area, non-seasonally adjusted, wage tracker, including one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWS._T.4F0.GY,M,U2,N,WT,INWS,_T,4F0,GY,2013-08,1.86743014188431,A,F,,,P1M,A,,14,ECB wage tracker,"Euro area, non-seasonally adjusted, wage tracker, including one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWS._T.4F0.GY,M,U2,N,WT,INWS,_T,4F0,GY,2013-09,1.85240252364673,A,F,,,P1M,A,,14,ECB wage tracker,"Euro area, non-seasonally adjusted, wage tracker, including one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWS._T.4F0.GY,M,U2,N,WT,INWS,_T,4F0,GY,2013-10,1.81255447069013,A,F,,,P1M,A,,14,ECB wage tracker,"Euro area, non-seasonally adjusted, wage tracker, including one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
