KEY,FREQ,REF_AREA,ADJUSTMENT,EWT_INDICATOR,EWT_CONCEPT,ACTIVITY,COMPILING_ORG,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,COLLECTION,DISS_ORG,DECIMALS,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EWT.M.U2.N.WT.COVR._T.4F0._Z,M,U2,N,WT,COVR,_T,4F0,_Z,2013-01,41.1573778788595,A,F,,,P1M,A,,14,Employee coverage as a share of the total number of employees in the wage tracker reference area (in %),"Euro area, non-seasonally adjusted, wage tracker, coverage, total economy, compiled by the ECB, percentges",PT,0
EWT.M.U2.N.WT.COVR._T.4F0._Z,M,U2,N,WT,COVR,_T,4F0,_Z,2013-02,41.3596439743921,A,F,,,P1M,A,,14,Employee coverage as a share of the total number of employees in the wage tracker reference area (in %),"Euro area, non-seasonally adjusted, wage tracker, coverage, total economy, compiled by the ECB, percentges",PT,0
EWT.M.U2.N.WT.COVR._T.4F0._Z,M,U2,N,WT,COVR,_T,4F0,_Z,2013-03,41.3809129346783,A,F,,,P1M,A,,14,Employee coverage as a share of the total number of employees in the wage tracker reference area (in %),"Euro area, non-seasonally adjusted, wage tracker, coverage, total economy, compiled by the ECB, percentges",PT,0
EWT.M.U2.N.WT.COVR._T.4F0._Z,M,U2,N,WT,COVR,_T,4F0,_Z,2013-04,42.5193439713609,A,F,,,P1M,A,,14,Employee coverage as a share of the total number of employees in the wage tracker reference area (in %),"Euro area, non-seasonally adjusted, wage tracker, coverage, total economy, compiled by the ECB, percentges",PT,0
EWT.M.U2.N.WT.COVR._T.4F0._Z,M,U2,N,WT,COVR,_T,4F0,_Z,2013-05,43.1414202649449,A,F,,,P1M,A,,14,Employee coverage as a share of the total number of employees in the wage tracker reference area (in %),"Euro area, non-seasonally adjusted, wage tracker, coverage, total economy, compiled by the ECB, percentges",PT,0
EWT.M.U2.N.WT.COVR._T.4F0._Z,M,U2,N,WT,COVR,_T,4F0,_Z,2013-06,43.224721202687,A,F,,,P1M,A,,14,Employee coverage as a share of the total number of employees in the wage tracker reference area (in %),"Euro area, non-seasonally adjusted, wage tracker, coverage, total economy, compiled by the ECB, percentges",PT,0
EWT.M.U2.N.WT.COVR._T.4F0._Z,M,U2,N,WT,COVR,_T,4F0,_Z,2013-07,43.7602869085326,A,F,,,P1M,A,,14,Employee coverage as a share of the total number of employees in the wage tracker reference area (in %),"Euro area, non-seasonally adjusted, wage tracker, coverage, total economy, compiled by the ECB, percentges",PT,0
EWT.M.U2.N.WT.COVR._T.4F0._Z,M,U2,N,WT,COVR,_T,4F0,_Z,2013-08,43.7718787211699,A,F,,,P1M,A,,14,Employee coverage as a share of the total number of employees in the wage tracker reference area (in %),"Euro area, non-seasonally adjusted, wage tracker, coverage, total economy, compiled by the ECB, percentges",PT,0
EWT.M.U2.N.WT.COVR._T.4F0._Z,M,U2,N,WT,COVR,_T,4F0,_Z,2013-09,44.264538147364,A,F,,,P1M,A,,14,Employee coverage as a share of the total number of employees in the wage tracker reference area (in %),"Euro area, non-seasonally adjusted, wage tracker, coverage, total economy, compiled by the ECB, percentges",PT,0
EWT.M.U2.N.WT.COVR._T.4F0._Z,M,U2,N,WT,COVR,_T,4F0,_Z,2013-10,44.2361346213504,A,F,,,P1M,A,,14,Employee coverage as a share of the total number of employees in the wage tracker reference area (in %),"Euro area, non-seasonally adjusted, wage tracker, coverage, total economy, compiled by the ECB, percentges",PT,0
