KEY,FREQ,REF_AREA,ADJUSTMENT,EWT_INDICATOR,EWT_CONCEPT,ACTIVITY,COMPILING_ORG,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,COLLECTION,DISS_ORG,DECIMALS,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EWT.M.U2.N.WT.INWR._T.4F0.GY,M,U2,N,WT,INWR,_T,4F0,GY,2013-01,1.91396431403296,A,F,,,P1M,A,,14,ECB wage tracker with unsmoothed one-off payments,"Euro area, non-seasonally adjusted, wage tracker, with unsmoothed one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWR._T.4F0.GY,M,U2,N,WT,INWR,_T,4F0,GY,2013-02,1.94486654458953,A,F,,,P1M,A,,14,ECB wage tracker with unsmoothed one-off payments,"Euro area, non-seasonally adjusted, wage tracker, with unsmoothed one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWR._T.4F0.GY,M,U2,N,WT,INWR,_T,4F0,GY,2013-03,1.8161362331764,A,F,,,P1M,A,,14,ECB wage tracker with unsmoothed one-off payments,"Euro area, non-seasonally adjusted, wage tracker, with unsmoothed one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWR._T.4F0.GY,M,U2,N,WT,INWR,_T,4F0,GY,2013-04,1.79321886671064,A,F,,,P1M,A,,14,ECB wage tracker with unsmoothed one-off payments,"Euro area, non-seasonally adjusted, wage tracker, with unsmoothed one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWR._T.4F0.GY,M,U2,N,WT,INWR,_T,4F0,GY,2013-05,1.59710916748868,A,F,,,P1M,A,,14,ECB wage tracker with unsmoothed one-off payments,"Euro area, non-seasonally adjusted, wage tracker, with unsmoothed one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWR._T.4F0.GY,M,U2,N,WT,INWR,_T,4F0,GY,2013-06,1.58902965221097,A,F,,,P1M,A,,14,ECB wage tracker with unsmoothed one-off payments,"Euro area, non-seasonally adjusted, wage tracker, with unsmoothed one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWR._T.4F0.GY,M,U2,N,WT,INWR,_T,4F0,GY,2013-07,1.77522023088788,A,F,,,P1M,A,,14,ECB wage tracker with unsmoothed one-off payments,"Euro area, non-seasonally adjusted, wage tracker, with unsmoothed one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWR._T.4F0.GY,M,U2,N,WT,INWR,_T,4F0,GY,2013-08,1.88032416731987,A,F,,,P1M,A,,14,ECB wage tracker with unsmoothed one-off payments,"Euro area, non-seasonally adjusted, wage tracker, with unsmoothed one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWR._T.4F0.GY,M,U2,N,WT,INWR,_T,4F0,GY,2013-09,1.81337331076668,A,F,,,P1M,A,,14,ECB wage tracker with unsmoothed one-off payments,"Euro area, non-seasonally adjusted, wage tracker, with unsmoothed one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWR._T.4F0.GY,M,U2,N,WT,INWR,_T,4F0,GY,2013-10,1.86778200414404,A,F,,,P1M,A,,14,ECB wage tracker with unsmoothed one-off payments,"Euro area, non-seasonally adjusted, wage tracker, with unsmoothed one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
