KEY,FREQ,REF_AREA,ADJUSTMENT,EWT_INDICATOR,EWT_CONCEPT,ACTIVITY,COMPILING_ORG,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,COLLECTION,DISS_ORG,DECIMALS,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2013-01,1.94998955601661,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2013-02,1.94349748139944,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2013-03,1.80286433133108,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2013-04,1.78313560991657,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2013-05,1.59710916748868,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2013-06,1.43108284994217,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2013-07,1.82433150974953,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2013-08,1.85486626465401,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2013-09,1.84490183326886,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2013-10,1.79697110292883,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2013-11,1.76161846350014,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2013-12,1.76928626647531,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2014-01,1.79153133002545,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2014-02,1.78887708642551,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2014-03,1.94485894989896,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2014-04,2.00006718067363,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2014-05,2.12719400147153,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2014-06,2.15554387255424,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2014-07,1.73641143185647,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2014-08,1.69332095207153,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2014-09,1.69324094066349,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2014-10,1.72907315371456,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2014-11,1.73312173189792,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2014-12,1.72597606697587,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2015-01,1.32842306371567,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2015-02,1.31950237535517,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2015-03,1.37180333728592,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2015-04,1.50645695300251,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2015-05,1.35612195826275,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2015-06,1.37555769329987,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
EWT.M.U2.N.WT.INWX._T.4F0.GY,M,U2,N,WT,INWX,_T,4F0,GY,2015-07,1.56140195156018,A,F,,,P1M,A,,14,ECB wage tracker excluding one-off payments,"Euro area, non-seasonally adjusted, wage tracker, excluding one-off payments, total economy, compiled by the ECB, annual rates of change",PT,0
