DATAFLOW,FREQ,REF_AREA,MEASURE,UNIT_MEASURE,SECTOR,EXPENDITURE,EDITION,CATEGORY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,PRICE_BASE,BASE_PER
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,FRA,GE,PT_OTE_S13,S13,GF10,2025,PF,2022,40.84,P,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,FRA,GE,PT_OTE_S13,S13,GF07,2025,PF,2022,15.57,P,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,FRA,GE,PT_OTE_S13,S13,GF10,2025,PF,2023,40.94,P,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,FRA,GE,PT_OTE_S13,S13,GF07,2025,PF,2023,15.55,P,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,DEU,GE,PT_OTE_S13,S13,GF10,2025,PF,2019,42.21,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,FRA,GE,PT_OTE_S13,S13,GF10,2025,PF,2019,43.28,P,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,FRA,GE,PT_OTE_S13,S13,GF07,2025,PF,2020,14.54,P,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,JPN,GE,PT_OTE_S13,S13,GF10,2025,PF,2022,39.35,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,GBR,GE,PT_OTE_S13,S13,GF10,2025,PF,2022,32.66,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,USA,GE,PT_OTE_S13,S13,GF10,2025,PF,2022,21.71,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,ITA,GE,PT_OTE_S13,S13,GF10,2025,PF,2023,39.27,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,JPN,GE,PT_OTE_S13,S13,GF10,2025,PF,2023,39.91,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,GBR,GE,PT_OTE_S13,S13,GF10,2025,PF,2023,32.87,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,ITA,GE,PT_OTE_S13,S13,GF10,2025,PF,2019,43.37,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,JPN,GE,PT_OTE_S13,S13,GF10,2025,PF,2019,41.32,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,GBR,GE,PT_OTE_S13,S13,GF10,2025,PF,2019,36.1,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,USA,GE,PT_OTE_S13,S13,GF10,2025,PF,2019,19.77,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,DEU,GE,PT_OTE_S13,S13,GF10,2025,PF,2020,41.86,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,ITA,GE,PT_OTE_S13,S13,GF10,2025,PF,2020,43.98,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,JPN,GE,PT_OTE_S13,S13,GF10,2025,PF,2020,37.73,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,GBR,GE,PT_OTE_S13,S13,GF10,2025,PF,2020,32.26,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,USA,GE,PT_OTE_S13,S13,GF10,2025,PF,2020,25.36,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,ITA,GE,PT_OTE_S13,S13,GF10,2025,PF,2021,40.33,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,JPN,GE,PT_OTE_S13,S13,GF10,2025,PF,2021,40.36,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,GBR,GE,PT_OTE_S13,S13,GF10,2025,PF,2021,33.33,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,USA,GE,PT_OTE_S13,S13,GF10,2025,PF,2021,26.47,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,ITA,GE,PT_OTE_S13,S13,GF10,2025,PF,2022,38.98,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,DEU,GE,PT_OTE_S13,S13,GF07,2025,PF,2022,17.06,P,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,DEU,GE,PT_OTE_S13,S13,GF10,2025,PF,2022,40.79,P,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,DEU,GE,PT_OTE_S13,S13,GF10,2025,PF,2021,40.41,P,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,DEU,GE,PT_OTE_S13,S13,GF07,2025,PF,2021,16.81,P,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,DEU,GE,PT_OTE_S13,S13,GF07,2025,PF,2023,15.56,P,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,DEU,GE,PT_OTE_S13,S13,GF10,2025,PF,2023,40.62,P,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,FRA,GE,PT_OTE_S13,S13,GF07,2025,PF,2019,14.72,P,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,USA,GE,PT_OTE_S13,S13,GF10,2025,PF,2023,20.15,A,0,_Z,
