scope_code,scope_name,year,value
USA,United States,2019,3.40921408383721
USA,United States,2025,3.1173079810605935
JPN,Japan,2019,0.9680656934306568
JPN,Japan,2025,1.4116699864430389
DEU,Germany,2019,1.239307038176226
DEU,Germany,2025,2.268510925145227
FRA,France,2019,1.8528852069651314
FRA,France,2025,2.0266296920856375
GBR,United Kingdom,2019,1.9684761520505683
GBR,United Kingdom,2025,2.3532641541251778
ITA,Italy,2019,1.2479803962913125
ITA,Italy,2025,1.8887272002891593
CAN,Canada,2019,1.220374604668211
CAN,Canada,2025,1.627447396350995
