"date","member","position","country","event_type","policy_comments","bias","stance_change","tags","source","source_url"
"2026-06-29","Lagarde","President","ECB","Article","Says June Hike Was Not an Insurance Move, Robust Across Scenarios","mildly hawkish","First recent item","rates,inflation","Econostream Central Bank","https://www.econostream-media.com/news/2026-06-29/ecb<U+2019>s_lagarde_says_june_hike_was_not_an_insurance_move_robust_across_scenarios.html"
"2026-06-27","Schnabel","Executive Board","Germany","Article","Further Rate Hikes, Upside Inflation Risks","hawkish","Similar to prior","rates,inflation","Econostream Central Bank","https://www.econostream-media.com/news/2026-06-27/ecb<U+2019>s_schnabel_presentation_flags_further_rate_hikes_upside_inflation_risks.html"
"2026-06-24","Nagel","Governing Council","Germany","Speech","No comments relevant for monetary policy","neutral","First recent item","digital-euro","Econostream Central Bank","https://www.econostream-media.com/news/2026-06-24/ecb<U+2019>s_nagel:_digital_euro_should_be_core_element_of_payments_in_europe.html"
"2026-06-24","Schnabel","Executive Board","Germany","Speech","further rate hikes would be needed from today's perspective to return inflation to the ECB's 2% target over the medium term.","hawkish","First recent item","rates,inflation","Econostream Central Bank","https://www.econostream-media.com/news/2026-06-24/ecb<U+2019>s_schnabel:_more_rate_hikes_needed_from_today<U+2019>s_perspective_to_reach_2_.html"
"2026-06-24","Zigman","ECB speaker","Euro Area","Speech","Wednesday that the peace agreement, the reopening of the Strait of Hormuz and the fall in oil prices would have a positive effect on inflation, eve...","mildly hawkish","First recent item","rates,inflation,energy","Econostream Central Bank","https://www.econostream-media.com/news/2026-06-24/ecb<U+2019>s_<U+017E>igman:_peace_deal_hormuz_reopening_oil_drop_positive_for_inflation.html"
"2026-06-23","Escriva","Governing Council","Spain","Speech","policymakers had assigned a higher probability in recent weeks to a diplomatic resolution of the conflict in the Middle East.","neutral","First recent item","energy","Econostream Central Bank","https://www.econostream-media.com/news/2026-06-23/ecb<U+2019>s_escriv<U+00E1>:_diplomatic_resolution_scenario_has_gained_probability_in_recent_weeks.html"
"2026-06-23","Kazimir","Governing Council","Slovakia","Speech","the direction of ECB monetary policy was clear and that the central bank still had work to do, while stressing that the timing of any further actio...","neutral","First recent item","general","Econostream Central Bank","https://www.econostream-media.com/news/2026-06-23/ecb<U+2019>s_ka<U+017E>im<U+00ED>r:_direction_clear_still_work_to_do.html"
"2026-06-23","Lane","Chief Economist","Ireland","Speech","the ECB raised interest rates in June because failing to respond to the energy shock risked allowing it to evolve into a broader and more persisten...","neutral","First recent item","rates,inflation,energy","Econostream Central Bank","https://www.econostream-media.com/news/2026-06-23/ecb<U+2019>s_lane:_failure_to_act_risked_turning_energy_shock_into_persistent_inflation.html"
"2026-06-23","Vujcic","Vice-President","Croatia","Speech","the ECB was not prepared to provide forward guidance and wanted to keep ""every meeting live.""","neutral","Similar to prior","guidance","Econostream Central Bank","https://www.econostream-media.com/news/2026-06-23/ecb_s_vuj<U+010D>i<U+0107>:_ecb_wants_to_keep_every_meeting_live_won<U+2019>t_give_forward_guidance.html"
"2026-06-23","Vujcic","Vice-President","Croatia","Speech","the latest energy futures curve was tracking somewhere between the ECB's milder and baseline scenarios, while stressing that uncertainty remained e...","neutral","First recent item","energy","Econostream Central Bank","https://www.econostream-media.com/news/2026-06-23/ecb<U+2019>s_vuj<U+010D>i<U+0107>:_energy_markets_lie_<U+201C>somewhere_between_milder_and_baseline_scenario<U+201D>.html"
