date,country,country_name,spread_bp,source,source_url
1990-01-01,FR,France,185,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1990-02-01,FR,France,145,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1990-03-01,FR,France,136,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1990-04-01,FR,France,86,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1990-05-01,FR,France,86,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1990-06-01,FR,France,89,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1990-07-01,FR,France,105,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1990-08-01,FR,France,112,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1990-09-01,FR,France,138,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1990-10-01,FR,France,132,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1990-11-01,FR,France,127,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1990-12-01,FR,France,108,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1991-01-01,FR,France,87,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1991-02-01,FR,France,79,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1991-03-01,FR,France,63,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1991-04-01,FR,France,53,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1991-05-01,FR,France,47,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
