scope_code,scope_name,year,component_id,component_name,value,status,source,source_url,source_note
MAE,G7 aggregate,2019,mandatory_proxy,Social protection + health,20.0210,actual,OECD COFOG / IMF,https://data-explorer.oecd.org/vis?df[ag]=OECD.GOV.GIP&df[ds]=dsDisseminateFinalDMZ&df[id]=DSD_GOV_COFOG@DF_GOV_COFOG_2025,"Social protection + health share from 2019, applied to IMF total expenditure."
MAE,G7 aggregate,2019,other_primary,Other primary expenditure,14.9850,actual,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Residual ensuring the four components sum to total expenditure.
MAE,G7 aggregate,2019,military,Military expenditure,2.4627,actual,SIPRI,https://www.sipri.org/databases/milex,Military expenditure as a share of GDP.
MAE,G7 aggregate,2019,interest,Interest expenditure,1.7362,actual,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Primary balance minus overall balance.
MAE,G7 aggregate,2025,mandatory_proxy,Social protection + health,20.7805,estimate,OECD COFOG / IMF,https://data-explorer.oecd.org/vis?df[ag]=OECD.GOV.GIP&df[ds]=dsDisseminateFinalDMZ&df[id]=DSD_GOV_COFOG@DF_GOV_COFOG_2025,"Social protection + health share from 2023, applied to IMF total expenditure."
MAE,G7 aggregate,2025,other_primary,Other primary expenditure,15.3649,estimate,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Residual ensuring the four components sum to total expenditure.
MAE,G7 aggregate,2025,military,Military expenditure,2.6378,estimate,SIPRI,https://www.sipri.org/databases/milex,Military expenditure as a share of GDP.
MAE,G7 aggregate,2025,interest,Interest expenditure,2.7307,estimate,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Primary balance minus overall balance.
USA,United States,2019,mandatory_proxy,Social protection + health,15.9932,actual,OECD COFOG / IMF,https://data-explorer.oecd.org/vis?df[ag]=OECD.GOV.GIP&df[ds]=dsDisseminateFinalDMZ&df[id]=DSD_GOV_COFOG@DF_GOV_COFOG_2025,"Social protection + health share from 2019, applied to IMF total expenditure."
USA,United States,2019,other_primary,Other primary expenditure,14.1396,actual,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Residual ensuring the four components sum to total expenditure.
USA,United States,2019,military,Military expenditure,3.4092,actual,SIPRI,https://www.sipri.org/databases/milex,Military expenditure as a share of GDP.
USA,United States,2019,interest,Interest expenditure,2.2770,actual,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Primary balance minus overall balance.
USA,United States,2025,mandatory_proxy,Social protection + health,17.3443,estimate,OECD COFOG / IMF,https://data-explorer.oecd.org/vis?df[ag]=OECD.GOV.GIP&df[ds]=dsDisseminateFinalDMZ&df[id]=DSD_GOV_COFOG@DF_GOV_COFOG_2025,"Social protection + health share from 2023, applied to IMF total expenditure."
USA,United States,2025,other_primary,Other primary expenditure,13.5894,estimate,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Residual ensuring the four components sum to total expenditure.
USA,United States,2025,military,Military expenditure,3.1173,estimate,SIPRI,https://www.sipri.org/databases/milex,Military expenditure as a share of GDP.
USA,United States,2025,interest,Interest expenditure,3.6540,estimate,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Primary balance minus overall balance.
JPN,Japan,2019,mandatory_proxy,Social protection + health,22.2696,actual,OECD COFOG / IMF,https://data-explorer.oecd.org/vis?df[ag]=OECD.GOV.GIP&df[ds]=dsDisseminateFinalDMZ&df[id]=DSD_GOV_COFOG@DF_GOV_COFOG_2025,"Social protection + health share from 2019, applied to IMF total expenditure."
JPN,Japan,2019,other_primary,Other primary expenditure,12.5233,actual,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Residual ensuring the four components sum to total expenditure.
JPN,Japan,2019,military,Military expenditure,0.9681,actual,SIPRI,https://www.sipri.org/databases/milex,Military expenditure as a share of GDP.
JPN,Japan,2019,interest,Interest expenditure,0.6630,actual,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Primary balance minus overall balance.
JPN,Japan,2025,mandatory_proxy,Social protection + health,22.1259,estimate,OECD COFOG / IMF,https://data-explorer.oecd.org/vis?df[ag]=OECD.GOV.GIP&df[ds]=dsDisseminateFinalDMZ&df[id]=DSD_GOV_COFOG@DF_GOV_COFOG_2025,"Social protection + health share from 2023, applied to IMF total expenditure."
JPN,Japan,2025,other_primary,Other primary expenditure,13.1205,estimate,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Residual ensuring the four components sum to total expenditure.
JPN,Japan,2025,military,Military expenditure,1.4117,estimate,SIPRI,https://www.sipri.org/databases/milex,Military expenditure as a share of GDP.
JPN,Japan,2025,interest,Interest expenditure,0.2000,estimate,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Primary balance minus overall balance.
DEU,Germany,2019,mandatory_proxy,Social protection + health,26.3727,actual,OECD COFOG / IMF,https://data-explorer.oecd.org/vis?df[ag]=OECD.GOV.GIP&df[ds]=dsDisseminateFinalDMZ&df[id]=DSD_GOV_COFOG@DF_GOV_COFOG_2025,"Social protection + health share from 2019, applied to IMF total expenditure."
DEU,Germany,2019,other_primary,Other primary expenditure,17.3300,actual,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Residual ensuring the four components sum to total expenditure.
DEU,Germany,2019,military,Military expenditure,1.2393,actual,SIPRI,https://www.sipri.org/databases/milex,Military expenditure as a share of GDP.
DEU,Germany,2019,interest,Interest expenditure,0.5910,actual,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Primary balance minus overall balance.
DEU,Germany,2025,mandatory_proxy,Social protection + health,28.3967,estimate,OECD COFOG / IMF,https://data-explorer.oecd.org/vis?df[ag]=OECD.GOV.GIP&df[ds]=dsDisseminateFinalDMZ&df[id]=DSD_GOV_COFOG@DF_GOV_COFOG_2025,"Social protection + health share from 2023, applied to IMF total expenditure."
DEU,Germany,2025,other_primary,Other primary expenditure,18.9997,estimate,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Residual ensuring the four components sum to total expenditure.
DEU,Germany,2025,military,Military expenditure,2.2685,estimate,SIPRI,https://www.sipri.org/databases/milex,Military expenditure as a share of GDP.
DEU,Germany,2025,interest,Interest expenditure,0.8810,estimate,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Primary balance minus overall balance.
FRA,France,2019,mandatory_proxy,Social protection + health,32.1001,actual,OECD COFOG / IMF,https://data-explorer.oecd.org/vis?df[ag]=OECD.GOV.GIP&df[ds]=dsDisseminateFinalDMZ&df[id]=DSD_GOV_COFOG@DF_GOV_COFOG_2025,"Social protection + health share from 2019, applied to IMF total expenditure."
FRA,France,2019,other_primary,Other primary expenditure,19.9180,actual,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Residual ensuring the four components sum to total expenditure.
FRA,France,2019,military,Military expenditure,1.8529,actual,SIPRI,https://www.sipri.org/databases/milex,Military expenditure as a share of GDP.
FRA,France,2019,interest,Interest expenditure,1.4740,actual,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Primary balance minus overall balance.
FRA,France,2025,mandatory_proxy,Social protection + health,32.4608,estimate,OECD COFOG / IMF,https://data-explorer.oecd.org/vis?df[ag]=OECD.GOV.GIP&df[ds]=dsDisseminateFinalDMZ&df[id]=DSD_GOV_COFOG@DF_GOV_COFOG_2025,"Social protection + health share from 2023, applied to IMF total expenditure."
FRA,France,2025,other_primary,Other primary expenditure,20.9905,estimate,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Residual ensuring the four components sum to total expenditure.
FRA,France,2025,military,Military expenditure,2.0266,estimate,SIPRI,https://www.sipri.org/databases/milex,Military expenditure as a share of GDP.
FRA,France,2025,interest,Interest expenditure,1.9850,estimate,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Primary balance minus overall balance.
GBR,United Kingdom,2019,mandatory_proxy,Social protection + health,20.9983,actual,OECD COFOG / IMF,https://data-explorer.oecd.org/vis?df[ag]=OECD.GOV.GIP&df[ds]=dsDisseminateFinalDMZ&df[id]=DSD_GOV_COFOG@DF_GOV_COFOG_2025,"Social protection + health share from 2019, applied to IMF total expenditure."
GBR,United Kingdom,2019,other_primary,Other primary expenditure,13.9303,actual,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Residual ensuring the four components sum to total expenditure.
GBR,United Kingdom,2019,military,Military expenditure,1.9685,actual,SIPRI,https://www.sipri.org/databases/milex,Military expenditure as a share of GDP.
GBR,United Kingdom,2019,interest,Interest expenditure,1.4280,actual,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Primary balance minus overall balance.
GBR,United Kingdom,2025,mandatory_proxy,Social protection + health,22.4767,estimate,OECD COFOG / IMF,https://data-explorer.oecd.org/vis?df[ag]=OECD.GOV.GIP&df[ds]=dsDisseminateFinalDMZ&df[id]=DSD_GOV_COFOG@DF_GOV_COFOG_2025,"Social protection + health share from 2023, applied to IMF total expenditure."
GBR,United Kingdom,2025,other_primary,Other primary expenditure,16.2021,estimate,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Residual ensuring the four components sum to total expenditure.
GBR,United Kingdom,2025,military,Military expenditure,2.3533,estimate,SIPRI,https://www.sipri.org/databases/milex,Military expenditure as a share of GDP.
GBR,United Kingdom,2025,interest,Interest expenditure,2.6120,estimate,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Primary balance minus overall balance.
ITA,Italy,2019,mandatory_proxy,Social protection + health,27.7131,actual,OECD COFOG / IMF,https://data-explorer.oecd.org/vis?df[ag]=OECD.GOV.GIP&df[ds]=dsDisseminateFinalDMZ&df[id]=DSD_GOV_COFOG@DF_GOV_COFOG_2025,"Social protection + health share from 2019, applied to IMF total expenditure."
ITA,Italy,2019,other_primary,Other primary expenditure,16.2750,actual,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Residual ensuring the four components sum to total expenditure.
ITA,Italy,2019,military,Military expenditure,1.2480,actual,SIPRI,https://www.sipri.org/databases/milex,Military expenditure as a share of GDP.
ITA,Italy,2019,interest,Interest expenditure,3.1880,actual,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Primary balance minus overall balance.
ITA,Italy,2025,mandatory_proxy,Social protection + health,26.2173,estimate,OECD COFOG / IMF,https://data-explorer.oecd.org/vis?df[ag]=OECD.GOV.GIP&df[ds]=dsDisseminateFinalDMZ&df[id]=DSD_GOV_COFOG@DF_GOV_COFOG_2025,"Social protection + health share from 2023, applied to IMF total expenditure."
ITA,Italy,2025,other_primary,Other primary expenditure,19.3400,estimate,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Residual ensuring the four components sum to total expenditure.
ITA,Italy,2025,military,Military expenditure,1.8887,estimate,SIPRI,https://www.sipri.org/databases/milex,Military expenditure as a share of GDP.
ITA,Italy,2025,interest,Interest expenditure,3.6100,estimate,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Primary balance minus overall balance.
CAN,Canada,2019,mandatory_proxy,Social protection + health,19.1991,actual,Statistics Canada / IMF,https://www150.statcan.gc.ca/n1/pub/11-627-m/11-627-m2025056-eng.htm,"Social protection + health share from 2019, applied to IMF total expenditure."
CAN,Canada,2019,other_primary,Other primary expenditure,20.0496,actual,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Residual ensuring the four components sum to total expenditure.
CAN,Canada,2019,military,Military expenditure,1.2204,actual,SIPRI,https://www.sipri.org/databases/milex,Military expenditure as a share of GDP.
CAN,Canada,2019,interest,Interest expenditure,0.1210,actual,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Primary balance minus overall balance.
CAN,Canada,2025,mandatory_proxy,Social protection + health,21.3426,estimate,Statistics Canada / IMF,https://www150.statcan.gc.ca/n1/pub/11-627-m/11-627-m2025056-eng.htm,"Social protection + health share from 2024, applied to IMF total expenditure."
CAN,Canada,2025,other_primary,Other primary expenditure,21.3099,estimate,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Residual ensuring the four components sum to total expenditure.
CAN,Canada,2025,military,Military expenditure,1.6274,estimate,SIPRI,https://www.sipri.org/databases/milex,Military expenditure as a share of GDP.
CAN,Canada,2025,interest,Interest expenditure,-0.3290,estimate,IMF / derived residual,https://www.imf.org/external/datamapper/datasets/FM,Primary balance minus overall balance.
