scope_code,scope_name,year,series_id,series_name,value,status,source,source_url,source_note
MAE,G7 aggregate,1990,net_debt,Net debt,35.9541,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,1991,overall_balance,Overall balance,-2.5856,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,1991,primary_balance,Primary balance,0.2949,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,1991,revenue,Revenue,38.0690,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,1991,primary_expenditure,Primary expenditure,37.7740,actual,IMF WEO / derived,https://data.imf.org/Datasets/WEO,Primary expenditure = revenue - primary balance.
MAE,G7 aggregate,1991,gross_debt,Gross debt,53.9594,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,1991,net_debt,Net debt,35.8568,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,1992,overall_balance,Overall balance,-3.2800,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,1992,primary_balance,Primary balance,-0.2083,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,1992,revenue,Revenue,38.5097,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,1992,primary_expenditure,Primary expenditure,38.7180,actual,IMF WEO / derived,https://data.imf.org/Datasets/WEO,Primary expenditure = revenue - primary balance.
MAE,G7 aggregate,1992,gross_debt,Gross debt,57.8886,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,1992,net_debt,Net debt,38.7535,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,1993,overall_balance,Overall balance,-4.5083,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,1993,primary_balance,Primary balance,-1.6031,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
